Recall,Precision,Model
1.0,0.3611111111111111,Elastic Net
1.0,0.36363636363636365,Elastic Net
1.0,0.36619718309859156,Elastic Net
1.0,0.36879432624113473,Elastic Net
1.0,0.37142857142857144,Elastic Net
1.0,0.37410071942446044,Elastic Net
1.0,0.37681159420289856,Elastic Net
0.9807692307692307,0.3722627737226277,Elastic Net
0.9807692307692307,0.375,Elastic Net
0.9807692307692307,0.37777777777777777,Elastic Net
0.9807692307692307,0.3805970149253731,Elastic Net
0.9615384615384616,0.37593984962406013,Elastic Net
0.9615384615384616,0.3787878787878788,Elastic Net
0.9615384615384616,0.3816793893129771,Elastic Net
0.9615384615384616,0.38461538461538464,Elastic Net
0.9615384615384616,0.3875968992248062,Elastic Net
0.9615384615384616,0.390625,Elastic Net
0.9615384615384616,0.3937007874015748,Elastic Net
0.9615384615384616,0.3968253968253968,Elastic Net
0.9615384615384616,0.4,Elastic Net
0.9615384615384616,0.4032258064516129,Elastic Net
0.9615384615384616,0.4065040650406504,Elastic Net
0.9423076923076923,0.4016393442622951,Elastic Net
0.9423076923076923,0.4049586776859504,Elastic Net
0.9423076923076923,0.4083333333333333,Elastic Net
0.9423076923076923,0.4117647058823529,Elastic Net
0.9423076923076923,0.4152542372881356,Elastic Net
0.9230769230769231,0.41025641025641024,Elastic Net
0.9230769230769231,0.41379310344827586,Elastic Net
0.9038461538461539,0.40869565217391307,Elastic Net
0.9038461538461539,0.41228070175438597,Elastic Net
0.9038461538461539,0.415929203539823,Elastic Net
0.9038461538461539,0.41964285714285715,Elastic Net
0.9038461538461539,0.42342342342342343,Elastic Net
0.9038461538461539,0.42727272727272725,Elastic Net
0.9038461538461539,0.43119266055045874,Elastic Net
0.8846153846153846,0.42592592592592593,Elastic Net
0.8846153846153846,0.42990654205607476,Elastic Net
0.8653846153846154,0.42452830188679247,Elastic Net
0.8653846153846154,0.42857142857142855,Elastic Net
0.8653846153846154,0.4326923076923077,Elastic Net
0.8653846153846154,0.4368932038834951,Elastic Net
0.8653846153846154,0.4411764705882353,Elastic Net
0.8461538461538461,0.43564356435643564,Elastic Net
0.8461538461538461,0.44,Elastic Net
0.8461538461538461,0.4444444444444444,Elastic Net
0.8269230769230769,0.4387755102040816,Elastic Net
0.8269230769230769,0.44329896907216493,Elastic Net
0.8269230769230769,0.4479166666666667,Elastic Net
0.8076923076923077,0.4421052631578947,Elastic Net
0.8076923076923077,0.44680851063829785,Elastic Net
0.8076923076923077,0.45161290322580644,Elastic Net
0.8076923076923077,0.45652173913043476,Elastic Net
0.7884615384615384,0.45054945054945056,Elastic Net
0.7884615384615384,0.45555555555555555,Elastic Net
0.7884615384615384,0.4606741573033708,Elastic Net
0.7884615384615384,0.4659090909090909,Elastic Net
0.7884615384615384,0.47126436781609193,Elastic Net
0.7884615384615384,0.47674418604651164,Elastic Net
0.7884615384615384,0.4823529411764706,Elastic Net
0.7884615384615384,0.4880952380952381,Elastic Net
0.7884615384615384,0.4939759036144578,Elastic Net
0.7692307692307693,0.4878048780487805,Elastic Net
0.7692307692307693,0.49382716049382713,Elastic Net
0.7692307692307693,0.5,Elastic Net
0.75,0.4936708860759494,Elastic Net
0.7307692307692307,0.48717948717948717,Elastic Net
0.7115384615384616,0.4805194805194805,Elastic Net
0.7115384615384616,0.4868421052631579,Elastic Net
0.7115384615384616,0.49333333333333335,Elastic Net
0.6923076923076923,0.4864864864864865,Elastic Net
0.6923076923076923,0.4931506849315068,Elastic Net
0.6730769230769231,0.4861111111111111,Elastic Net
0.6538461538461539,0.4788732394366197,Elastic Net
0.6538461538461539,0.4857142857142857,Elastic Net
0.6538461538461539,0.4927536231884058,Elastic Net
0.6538461538461539,0.5,Elastic Net
0.6346153846153846,0.4925373134328358,Elastic Net
0.6346153846153846,0.5,Elastic Net
0.6153846153846154,0.49230769230769234,Elastic Net
0.5961538461538461,0.484375,Elastic Net
0.5769230769230769,0.47619047619047616,Elastic Net
0.5769230769230769,0.4838709677419355,Elastic Net
0.5576923076923077,0.47540983606557374,Elastic Net
0.5576923076923077,0.48333333333333334,Elastic Net
0.5576923076923077,0.4915254237288136,Elastic Net
0.5576923076923077,0.5,Elastic Net
0.5384615384615384,0.49122807017543857,Elastic Net
0.5192307692307693,0.48214285714285715,Elastic Net
0.5,0.4727272727272727,Elastic Net
0.5,0.48148148148148145,Elastic Net
0.4807692307692308,0.4716981132075472,Elastic Net
0.46153846153846156,0.46153846153846156,Elastic Net
0.4423076923076923,0.45098039215686275,Elastic Net
0.4423076923076923,0.46,Elastic Net
