,Accuracy,Precision,Recall,Specificity,F1-Score,PR-AUC
Elastic Net,0.01546279334650854,0.030975896431648574,0.033509467007240085,0.010931824755715303,0.033111784483075626,0.019121097764853857
SVM,0.012121006072343043,0.0556666437555132,0.01390965038438176,0.014451548744939872,0.020925414287782156,0.02733139327702824
KNN,0.006161623617613788,0.07270954008868145,0.016668252079699616,0.0027280981374478,0.029100027214548834,0.021121979477308248
Random Forest,0.009837942834665832,0.01903693021117329,0.03439336642101649,0.005537553975706107,0.043497495782060906,0.008102643084186276
Extra Trees,0.0060738613754226616,0.028983251389361166,0.02967834356568795,0.011567663393876241,0.022152076533510708,0.006310650515523577
AdaBoost,0.01006451543722158,0.05456591955635272,0.029988151757978997,0.01304790542019978,0.036115632603730116,0.014439912498117307
XGBoost,0.009394207194735132,0.016964714039776112,0.04400914945686888,0.02588818503246175,0.019667501975705434,0.009267824154864353
