Precision,Recall,Model
0.3611111111111111,1.0,SVM
0.36363636363636365,1.0,SVM
0.36619718309859156,1.0,SVM
0.36879432624113473,1.0,SVM
0.36428571428571427,0.9807692307692307,SVM
0.3669064748201439,0.9807692307692307,SVM
0.3695652173913043,0.9807692307692307,SVM
0.3722627737226277,0.9807692307692307,SVM
0.375,0.9807692307692307,SVM
0.37777777777777777,0.9807692307692307,SVM
0.3805970149253731,0.9807692307692307,SVM
0.38345864661654133,0.9807692307692307,SVM
0.3787878787878788,0.9615384615384616,SVM
0.37404580152671757,0.9423076923076923,SVM
0.3769230769230769,0.9423076923076923,SVM
0.37209302325581395,0.9230769230769231,SVM
0.375,0.9230769230769231,SVM
0.3700787401574803,0.9038461538461539,SVM
0.373015873015873,0.9038461538461539,SVM
0.376,0.9038461538461539,SVM
0.3790322580645161,0.9038461538461539,SVM
0.3821138211382114,0.9038461538461539,SVM
0.3770491803278688,0.8846153846153846,SVM
0.371900826446281,0.8653846153846154,SVM
0.375,0.8653846153846154,SVM
0.3697478991596639,0.8461538461538461,SVM
0.3728813559322034,0.8461538461538461,SVM
0.37606837606837606,0.8461538461538461,SVM
0.3793103448275862,0.8461538461538461,SVM
0.3826086956521739,0.8461538461538461,SVM
0.37719298245614036,0.8269230769230769,SVM
0.37168141592920356,0.8076923076923077,SVM
0.375,0.8076923076923077,SVM
0.3783783783783784,0.8076923076923077,SVM
0.38181818181818183,0.8076923076923077,SVM
0.3853211009174312,0.8076923076923077,SVM
0.3888888888888889,0.8076923076923077,SVM
0.3925233644859813,0.8076923076923077,SVM
0.39622641509433965,0.8076923076923077,SVM
0.4,0.8076923076923077,SVM
0.40384615384615385,0.8076923076923077,SVM
0.4077669902912621,0.8076923076923077,SVM
0.4019607843137255,0.7884615384615384,SVM
0.39603960396039606,0.7692307692307693,SVM
0.4,0.7692307692307693,SVM
0.3939393939393939,0.75,SVM
0.3979591836734694,0.75,SVM
0.4020618556701031,0.75,SVM
0.3958333333333333,0.7307692307692307,SVM
0.3894736842105263,0.7115384615384616,SVM
0.39361702127659576,0.7115384615384616,SVM
0.3870967741935484,0.6923076923076923,SVM
0.391304347826087,0.6923076923076923,SVM
0.3956043956043956,0.6923076923076923,SVM
0.4,0.6923076923076923,SVM
0.4044943820224719,0.6923076923076923,SVM
0.4090909090909091,0.6923076923076923,SVM
0.41379310344827586,0.6923076923076923,SVM
0.4186046511627907,0.6923076923076923,SVM
0.4235294117647059,0.6923076923076923,SVM
0.4166666666666667,0.6730769230769231,SVM
0.42168674698795183,0.6730769230769231,SVM
0.4268292682926829,0.6730769230769231,SVM
0.43209876543209874,0.6730769230769231,SVM
0.4375,0.6730769230769231,SVM
0.4430379746835443,0.6730769230769231,SVM
0.44871794871794873,0.6730769230769231,SVM
0.45454545454545453,0.6730769230769231,SVM
0.4473684210526316,0.6538461538461539,SVM
0.44,0.6346153846153846,SVM
0.43243243243243246,0.6153846153846154,SVM
0.4246575342465753,0.5961538461538461,SVM
0.4305555555555556,0.5961538461538461,SVM
0.43661971830985913,0.5961538461538461,SVM
0.44285714285714284,0.5961538461538461,SVM
0.4492753623188406,0.5961538461538461,SVM
0.4411764705882353,0.5769230769230769,SVM
0.43283582089552236,0.5576923076923077,SVM
0.4393939393939394,0.5576923076923077,SVM
0.4461538461538462,0.5576923076923077,SVM
0.453125,0.5576923076923077,SVM
0.4603174603174603,0.5576923076923077,SVM
0.46774193548387094,0.5576923076923077,SVM
0.45901639344262296,0.5384615384615384,SVM
0.4666666666666667,0.5384615384615384,SVM
0.4745762711864407,0.5384615384615384,SVM
0.46551724137931033,0.5192307692307693,SVM
0.47368421052631576,0.5192307692307693,SVM
0.4642857142857143,0.5,SVM
0.4727272727272727,0.5,SVM
0.48148148148148145,0.5,SVM
0.4716981132075472,0.4807692307692308,SVM
0.46153846153846156,0.46153846153846156,SVM
0.45098039215686275,0.4423076923076923,SVM
0.44,0.4230769230769231,SVM
0.4489795918367347,0.4230769230769231,SVM
0.4375,0.40384615384615385,SVM
0.425531914893617,0.38461538461538464,SVM
0.41304347826086957,0.36538461538461536,SVM
