,Accuracy,Precision,Recall,F1-Score,PR-AUC
SVM,0.0008458329368515418,0.0,0.0,0.0,0.03264612949383174
KNN,0.0,0.0,0.0,0.0,0.0
Random Forest,0.011635959818995394,0.016466297492391906,0.03183669766003581,0.01651603004868026,0.011330606109353094
