,Accuracy,Precision,Recall,F1-Score,PR-AUC
SVM,0.6371526926341602,0.0,0.0,0.0,0.4319064389498572
KNN,1.0,1.0,1.0,1.0,1.0
Random Forest,0.7070281995661605,0.583696767380695,0.6746150556030795,0.6253957393835823,0.659256069124834
