,Accuracy,Precision,Recall,Specificity,F1-Score,PR-AUC
Elastic Net,0.6953173630104688,0.6646499059645763,0.32413031080695753,0.9066819902022243,0.4350205483418373,0.6360386196286776
SVM,0.6371526926341602,0.0,0.0,1.0,0.0,0.6310671485204549
Random Forest,0.720480052815241,0.6130275502859794,0.6256273167949814,0.7745281047572613,0.6181251052930757,0.6833805625051933
Extra Trees,0.7291625011789116,0.6242035425665263,0.6387724550898204,0.780631979754359,0.6312434897009154,0.6916544765434038
XGBoost,0.7808176931057248,0.6727006482964131,0.772747362418021,0.7854194237421932,0.7190773277868725,0.7774447547081549
