Precision,Recall,Model
0.3611111111111111,1.0,Elastic Net
0.36363636363636365,1.0,Elastic Net
0.36619718309859156,1.0,Elastic Net
0.36879432624113473,1.0,Elastic Net
0.37142857142857144,1.0,Elastic Net
0.37410071942446044,1.0,Elastic Net
0.37681159420289856,1.0,Elastic Net
0.3722627737226277,0.9807692307692307,Elastic Net
0.375,0.9807692307692307,Elastic Net
0.37777777777777777,0.9807692307692307,Elastic Net
0.3805970149253731,0.9807692307692307,Elastic Net
0.37593984962406013,0.9615384615384616,Elastic Net
0.3787878787878788,0.9615384615384616,Elastic Net
0.3816793893129771,0.9615384615384616,Elastic Net
0.38461538461538464,0.9615384615384616,Elastic Net
0.3875968992248062,0.9615384615384616,Elastic Net
0.390625,0.9615384615384616,Elastic Net
0.3937007874015748,0.9615384615384616,Elastic Net
0.3968253968253968,0.9615384615384616,Elastic Net
0.4,0.9615384615384616,Elastic Net
0.3951612903225806,0.9423076923076923,Elastic Net
0.3983739837398374,0.9423076923076923,Elastic Net
0.4016393442622951,0.9423076923076923,Elastic Net
0.39669421487603307,0.9230769230769231,Elastic Net
0.39166666666666666,0.9038461538461539,Elastic Net
0.3949579831932773,0.9038461538461539,Elastic Net
0.3983050847457627,0.9038461538461539,Elastic Net
0.4017094017094017,0.9038461538461539,Elastic Net
0.4051724137931034,0.9038461538461539,Elastic Net
0.40869565217391307,0.9038461538461539,Elastic Net
0.41228070175438597,0.9038461538461539,Elastic Net
0.40707964601769914,0.8846153846153846,Elastic Net
0.4107142857142857,0.8846153846153846,Elastic Net
0.4144144144144144,0.8846153846153846,Elastic Net
0.41818181818181815,0.8846153846153846,Elastic Net
0.41284403669724773,0.8653846153846154,Elastic Net
0.4166666666666667,0.8653846153846154,Elastic Net
0.411214953271028,0.8461538461538461,Elastic Net
0.41509433962264153,0.8461538461538461,Elastic Net
0.4095238095238095,0.8269230769230769,Elastic Net
0.41346153846153844,0.8269230769230769,Elastic Net
