Precision,Recall,Model
0.3611111111111111,1.0,Elastic Net
0.36363636363636365,1.0,Elastic Net
0.36619718309859156,1.0,Elastic Net
0.36879432624113473,1.0,Elastic Net
0.37142857142857144,1.0,Elastic Net
0.3669064748201439,0.9807692307692307,Elastic Net
0.3695652173913043,0.9807692307692307,Elastic Net
0.3722627737226277,0.9807692307692307,Elastic Net
0.375,0.9807692307692307,Elastic Net
0.37777777777777777,0.9807692307692307,Elastic Net
0.3805970149253731,0.9807692307692307,Elastic Net
0.38345864661654133,0.9807692307692307,Elastic Net
0.38636363636363635,0.9807692307692307,Elastic Net
0.3816793893129771,0.9615384615384616,Elastic Net
0.38461538461538464,0.9615384615384616,Elastic Net
0.3875968992248062,0.9615384615384616,Elastic Net
0.390625,0.9615384615384616,Elastic Net
0.3937007874015748,0.9615384615384616,Elastic Net
0.3968253968253968,0.9615384615384616,Elastic Net
0.4,0.9615384615384616,Elastic Net
0.4032258064516129,0.9615384615384616,Elastic Net
0.3983739837398374,0.9423076923076923,Elastic Net
0.39344262295081966,0.9230769230769231,Elastic Net
0.39669421487603307,0.9230769230769231,Elastic Net
0.4,0.9230769230769231,Elastic Net
0.40336134453781514,0.9230769230769231,Elastic Net
0.4067796610169492,0.9230769230769231,Elastic Net
0.41025641025641024,0.9230769230769231,Elastic Net
0.41379310344827586,0.9230769230769231,Elastic Net
0.40869565217391307,0.9038461538461539,Elastic Net
0.41228070175438597,0.9038461538461539,Elastic Net
0.415929203539823,0.9038461538461539,Elastic Net
0.41964285714285715,0.9038461538461539,Elastic Net
0.42342342342342343,0.9038461538461539,Elastic Net
0.41818181818181815,0.8846153846153846,Elastic Net
0.41284403669724773,0.8653846153846154,Elastic Net
0.4074074074074074,0.8461538461538461,Elastic Net
0.411214953271028,0.8461538461538461,Elastic Net
0.41509433962264153,0.8461538461538461,Elastic Net
0.4095238095238095,0.8269230769230769,Elastic Net
0.40384615384615385,0.8076923076923077,Elastic Net
