False Positive Rate,True Positive Rate,Model
0.0,0.0,Elastic Net
0.019230769230769232,0.0,Elastic Net
0.11538461538461539,0.0,Elastic Net
0.11538461538461539,0.010869565217391304,Elastic Net
0.1346153846153846,0.010869565217391304,Elastic Net
0.1346153846153846,0.03260869565217391,Elastic Net
0.15384615384615385,0.03260869565217391,Elastic Net
0.15384615384615385,0.043478260869565216,Elastic Net
0.19230769230769232,0.043478260869565216,Elastic Net
0.19230769230769232,0.06521739130434782,Elastic Net
0.25,0.06521739130434782,Elastic Net
0.25,0.10869565217391304,Elastic Net
0.28846153846153844,0.10869565217391304,Elastic Net
0.28846153846153844,0.13043478260869565,Elastic Net
0.3076923076923077,0.13043478260869565,Elastic Net
0.3076923076923077,0.14130434782608695,Elastic Net
0.3269230769230769,0.14130434782608695,Elastic Net
0.3269230769230769,0.15217391304347827,Elastic Net
0.36538461538461536,0.15217391304347827,Elastic Net
0.36538461538461536,0.16304347826086957,Elastic Net
0.4423076923076923,0.16304347826086957,Elastic Net
0.4423076923076923,0.21739130434782608,Elastic Net
0.5,0.21739130434782608,Elastic Net
0.5,0.2717391304347826,Elastic Net
0.5384615384615384,0.2717391304347826,Elastic Net
0.5384615384615384,0.2826086956521739,Elastic Net
0.5576923076923077,0.2826086956521739,Elastic Net
0.5576923076923077,0.30434782608695654,Elastic Net
0.5961538461538461,0.30434782608695654,Elastic Net
0.5961538461538461,0.3695652173913043,Elastic Net
0.6538461538461539,0.3695652173913043,Elastic Net
0.6538461538461539,0.40217391304347827,Elastic Net
0.6730769230769231,0.40217391304347827,Elastic Net
0.6730769230769231,0.43478260869565216,Elastic Net
0.6923076923076923,0.43478260869565216,Elastic Net
0.6923076923076923,0.44565217391304346,Elastic Net
0.7115384615384616,0.44565217391304346,Elastic Net
0.7115384615384616,0.5108695652173914,Elastic Net
0.7307692307692307,0.5108695652173914,Elastic Net
0.7307692307692307,0.5543478260869565,Elastic Net
0.75,0.5543478260869565,Elastic Net
0.75,0.5652173913043478,Elastic Net
0.7884615384615384,0.5652173913043478,Elastic Net
