Precision,Recall,Model
0.3611111111111111,1.0,Elastic Net
0.36363636363636365,1.0,Elastic Net
0.36619718309859156,1.0,Elastic Net
0.36879432624113473,1.0,Elastic Net
0.37142857142857144,1.0,Elastic Net
0.37410071942446044,1.0,Elastic Net
0.37681159420289856,1.0,Elastic Net
0.3795620437956204,1.0,Elastic Net
0.38235294117647056,1.0,Elastic Net
0.3851851851851852,1.0,Elastic Net
0.3805970149253731,0.9807692307692307,Elastic Net
0.37593984962406013,0.9615384615384616,Elastic Net
0.3787878787878788,0.9615384615384616,Elastic Net
0.3816793893129771,0.9615384615384616,Elastic Net
0.38461538461538464,0.9615384615384616,Elastic Net
0.3875968992248062,0.9615384615384616,Elastic Net
0.390625,0.9615384615384616,Elastic Net
0.3937007874015748,0.9615384615384616,Elastic Net
0.3968253968253968,0.9615384615384616,Elastic Net
0.4,0.9615384615384616,Elastic Net
0.4032258064516129,0.9615384615384616,Elastic Net
0.4065040650406504,0.9615384615384616,Elastic Net
0.4098360655737705,0.9615384615384616,Elastic Net
0.4049586776859504,0.9423076923076923,Elastic Net
0.4083333333333333,0.9423076923076923,Elastic Net
0.4117647058823529,0.9423076923076923,Elastic Net
0.4152542372881356,0.9423076923076923,Elastic Net
0.4188034188034188,0.9423076923076923,Elastic Net
0.4224137931034483,0.9423076923076923,Elastic Net
0.4260869565217391,0.9423076923076923,Elastic Net
0.42105263157894735,0.9230769230769231,Elastic Net
0.4247787610619469,0.9230769230769231,Elastic Net
0.42857142857142855,0.9230769230769231,Elastic Net
0.42342342342342343,0.9038461538461539,Elastic Net
0.41818181818181815,0.8846153846153846,Elastic Net
0.41284403669724773,0.8653846153846154,Elastic Net
0.4166666666666667,0.8653846153846154,Elastic Net
0.4205607476635514,0.8653846153846154,Elastic Net
0.42452830188679247,0.8653846153846154,Elastic Net
0.42857142857142855,0.8653846153846154,Elastic Net
0.4326923076923077,0.8653846153846154,Elastic Net
0.4368932038834951,0.8653846153846154,Elastic Net
