Precision,Recall,Model
0.3611111111111111,1.0,Elastic Net
0.36363636363636365,1.0,Elastic Net
0.36619718309859156,1.0,Elastic Net
0.36879432624113473,1.0,Elastic Net
0.36428571428571427,0.9807692307692307,Elastic Net
0.3669064748201439,0.9807692307692307,Elastic Net
0.3695652173913043,0.9807692307692307,Elastic Net
0.3722627737226277,0.9807692307692307,Elastic Net
0.375,0.9807692307692307,Elastic Net
0.37777777777777777,0.9807692307692307,Elastic Net
0.3805970149253731,0.9807692307692307,Elastic Net
0.38345864661654133,0.9807692307692307,Elastic Net
0.3787878787878788,0.9615384615384616,Elastic Net
0.3816793893129771,0.9615384615384616,Elastic Net
0.38461538461538464,0.9615384615384616,Elastic Net
0.3875968992248062,0.9615384615384616,Elastic Net
0.390625,0.9615384615384616,Elastic Net
0.3937007874015748,0.9615384615384616,Elastic Net
0.3968253968253968,0.9615384615384616,Elastic Net
0.4,0.9615384615384616,Elastic Net
0.3951612903225806,0.9423076923076923,Elastic Net
0.3902439024390244,0.9230769230769231,Elastic Net
0.38524590163934425,0.9038461538461539,Elastic Net
0.3884297520661157,0.9038461538461539,Elastic Net
0.39166666666666666,0.9038461538461539,Elastic Net
0.3949579831932773,0.9038461538461539,Elastic Net
0.3898305084745763,0.8846153846153846,Elastic Net
0.38461538461538464,0.8653846153846154,Elastic Net
0.3879310344827586,0.8653846153846154,Elastic Net
0.391304347826087,0.8653846153846154,Elastic Net
0.38596491228070173,0.8461538461538461,Elastic Net
0.3893805309734513,0.8461538461538461,Elastic Net
0.39285714285714285,0.8461538461538461,Elastic Net
0.3963963963963964,0.8461538461538461,Elastic Net
0.4,0.8461538461538461,Elastic Net
0.3944954128440367,0.8269230769230769,Elastic Net
0.39814814814814814,0.8269230769230769,Elastic Net
0.40186915887850466,0.8269230769230769,Elastic Net
0.39622641509433965,0.8076923076923077,Elastic Net
0.4,0.8076923076923077,Elastic Net
0.3942307692307692,0.7884615384615384,Elastic Net
