,Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,PR-AUC
Elastic Net,0.6371526926341602,0.0,0.0,1.0,0.0,0.5630729625237927,0.44948031896089696
SVM,0.6371526926341602,0.0,0.0,1.0,0.0,0.5735380982827826,0.45251338244714834
Random Forest,0.6388814486466095,0.5136728769038381,0.519297120045623,0.7071602702514453,0.5073655683233692,0.6788142875633423,0.5555036720804729
XGBoost,0.6132915212675658,0.47756186167645637,0.5848374679213002,0.6294188665227184,0.5222176226379828,0.6512616579197946,0.5099022592870025
