,Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,PR-AUC
Elastic Net,0.0008458329368515419,0.0,0.0,0.0,0.0,0.011701603079019346,0.009108296916332467
SVM,0.0008458329368515419,0.0,0.0,0.0,0.0,0.023435397375135406,0.011200446755299751
Random Forest,0.029569017583897704,0.049334377291564355,0.09398675445859594,0.09616435806623932,0.02871450315386321,0.011725231530295496,0.016897565820662354
XGBoost,0.026008184084761295,0.025848469555250463,0.06525058110450896,0.07777785572070495,0.012010624990153354,0.009766995848020904,0.016616539790317294
