Precision,Recall,Model
0.3611111111111111,1.0,Elastic Net
0.36363636363636365,1.0,Elastic Net
0.36619718309859156,1.0,Elastic Net
0.36879432624113473,1.0,Elastic Net
0.37142857142857144,1.0,Elastic Net
0.3669064748201439,0.9807692307692307,Elastic Net
0.3695652173913043,0.9807692307692307,Elastic Net
0.3722627737226277,0.9807692307692307,Elastic Net
0.375,0.9807692307692307,Elastic Net
0.37037037037037035,0.9615384615384616,Elastic Net
0.373134328358209,0.9615384615384616,Elastic Net
0.3684210526315789,0.9423076923076923,Elastic Net
0.3712121212121212,0.9423076923076923,Elastic Net
0.37404580152671757,0.9423076923076923,Elastic Net
0.3769230769230769,0.9423076923076923,Elastic Net
0.37209302325581395,0.9230769230769231,Elastic Net
0.375,0.9230769230769231,Elastic Net
0.3779527559055118,0.9230769230769231,Elastic Net
0.38095238095238093,0.9230769230769231,Elastic Net
0.384,0.9230769230769231,Elastic Net
0.3870967741935484,0.9230769230769231,Elastic Net
0.3902439024390244,0.9230769230769231,Elastic Net
0.39344262295081966,0.9230769230769231,Elastic Net
0.39669421487603307,0.9230769230769231,Elastic Net
0.4,0.9230769230769231,Elastic Net
0.40336134453781514,0.9230769230769231,Elastic Net
0.4067796610169492,0.9230769230769231,Elastic Net
0.41025641025641024,0.9230769230769231,Elastic Net
0.41379310344827586,0.9230769230769231,Elastic Net
0.41739130434782606,0.9230769230769231,Elastic Net
0.42105263157894735,0.9230769230769231,Elastic Net
0.4247787610619469,0.9230769230769231,Elastic Net
0.41964285714285715,0.9038461538461539,Elastic Net
0.42342342342342343,0.9038461538461539,Elastic Net
0.41818181818181815,0.8846153846153846,Elastic Net
0.41284403669724773,0.8653846153846154,Elastic Net
0.4166666666666667,0.8653846153846154,Elastic Net
0.4205607476635514,0.8653846153846154,Elastic Net
0.42452830188679247,0.8653846153846154,Elastic Net
0.41904761904761906,0.8461538461538461,Elastic Net
0.4230769230769231,0.8461538461538461,Elastic Net
