Recall,Precision,Model
1.0,0.3611111111111111,Elastic Net
1.0,0.36363636363636365,Elastic Net
1.0,0.36619718309859156,Elastic Net
1.0,0.36879432624113473,Elastic Net
1.0,0.37142857142857144,Elastic Net
1.0,0.37410071942446044,Elastic Net
1.0,0.37681159420289856,Elastic Net
1.0,0.3795620437956204,Elastic Net
1.0,0.38235294117647056,Elastic Net
0.9807692307692307,0.37777777777777777,Elastic Net
0.9807692307692307,0.3805970149253731,Elastic Net
0.9807692307692307,0.38345864661654133,Elastic Net
0.9807692307692307,0.38636363636363635,Elastic Net
0.9807692307692307,0.3893129770992366,Elastic Net
0.9615384615384616,0.38461538461538464,Elastic Net
0.9615384615384616,0.3875968992248062,Elastic Net
0.9615384615384616,0.390625,Elastic Net
0.9615384615384616,0.3937007874015748,Elastic Net
0.9615384615384616,0.3968253968253968,Elastic Net
0.9615384615384616,0.4,Elastic Net
0.9615384615384616,0.4032258064516129,Elastic Net
0.9423076923076923,0.3983739837398374,Elastic Net
0.9423076923076923,0.4016393442622951,Elastic Net
0.9423076923076923,0.4049586776859504,Elastic Net
0.9423076923076923,0.4083333333333333,Elastic Net
0.9423076923076923,0.4117647058823529,Elastic Net
0.9423076923076923,0.4152542372881356,Elastic Net
0.9423076923076923,0.4188034188034188,Elastic Net
0.9423076923076923,0.4224137931034483,Elastic Net
0.9423076923076923,0.4260869565217391,Elastic Net
0.9423076923076923,0.4298245614035088,Elastic Net
0.9230769230769231,0.4247787610619469,Elastic Net
0.9230769230769231,0.42857142857142855,Elastic Net
0.9230769230769231,0.43243243243243246,Elastic Net
0.9038461538461539,0.42727272727272725,Elastic Net
0.8846153846153846,0.42201834862385323,Elastic Net
0.8653846153846154,0.4166666666666667,Elastic Net
0.8653846153846154,0.4205607476635514,Elastic Net
0.8653846153846154,0.42452830188679247,Elastic Net
0.8653846153846154,0.42857142857142855,Elastic Net
0.8653846153846154,0.4326923076923077,Elastic Net
0.8461538461538461,0.42718446601941745,Elastic Net
0.8461538461538461,0.43137254901960786,Elastic Net
0.8461538461538461,0.43564356435643564,Elastic Net
0.8269230769230769,0.43,Elastic Net
0.8076923076923077,0.42424242424242425,Elastic Net
0.8076923076923077,0.42857142857142855,Elastic Net
0.8076923076923077,0.4329896907216495,Elastic Net
0.8076923076923077,0.4375,Elastic Net
0.8076923076923077,0.4421052631578947,Elastic Net
0.7884615384615384,0.43617021276595747,Elastic Net
0.7692307692307693,0.43010752688172044,Elastic Net
0.7692307692307693,0.43478260869565216,Elastic Net
0.75,0.42857142857142855,Elastic Net
0.75,0.43333333333333335,Elastic Net
0.75,0.43820224719101125,Elastic Net
0.7307692307692307,0.4318181818181818,Elastic Net
0.7307692307692307,0.4367816091954023,Elastic Net
0.7307692307692307,0.4418604651162791,Elastic Net
0.7307692307692307,0.4470588235294118,Elastic Net
0.7307692307692307,0.4523809523809524,Elastic Net
0.7307692307692307,0.4578313253012048,Elastic Net
0.7115384615384616,0.45121951219512196,Elastic Net
0.7115384615384616,0.4567901234567901,Elastic Net
0.7115384615384616,0.4625,Elastic Net
0.7115384615384616,0.46835443037974683,Elastic Net
0.7115384615384616,0.47435897435897434,Elastic Net
0.7115384615384616,0.4805194805194805,Elastic Net
0.6923076923076923,0.47368421052631576,Elastic Net
0.6730769230769231,0.4666666666666667,Elastic Net
0.6730769230769231,0.47297297297297297,Elastic Net
0.6730769230769231,0.4794520547945205,Elastic Net
0.6730769230769231,0.4861111111111111,Elastic Net
0.6730769230769231,0.49295774647887325,Elastic Net
0.6538461538461539,0.4857142857142857,Elastic Net
0.6538461538461539,0.4927536231884058,Elastic Net
0.6538461538461539,0.5,Elastic Net
0.6538461538461539,0.5074626865671642,Elastic Net
0.6346153846153846,0.5,Elastic Net
0.6346153846153846,0.5076923076923077,Elastic Net
0.6346153846153846,0.515625,Elastic Net
0.6153846153846154,0.5079365079365079,Elastic Net
0.6153846153846154,0.5161290322580645,Elastic Net
0.5961538461538461,0.5081967213114754,Elastic Net
0.5769230769230769,0.5,Elastic Net
0.5769230769230769,0.5084745762711864,Elastic Net
0.5769230769230769,0.5172413793103449,Elastic Net
0.5769230769230769,0.5263157894736842,Elastic Net
0.5769230769230769,0.5357142857142857,Elastic Net
0.5769230769230769,0.5454545454545454,Elastic Net
0.5769230769230769,0.5555555555555556,Elastic Net
0.5576923076923077,0.5471698113207547,Elastic Net
0.5576923076923077,0.5576923076923077,Elastic Net
0.5384615384615384,0.5490196078431373,Elastic Net
0.5192307692307693,0.54,Elastic Net
